DateTime,Open,High,Low,Close
20040927 07:00:00,407.37,409.78,406.10,408.48
20040928 07:00:00,408.31,412.63,407.24,412.00
20040929 07:00:00,411.77,413.88,409.96,412.17
20040930 07:00:00,411.83,418.66,410.13,418.25
20041001 07:00:00,418.23,419.38,415.83,418.59
20041004 07:00:00,418.21,418.64,410.64,413.13
20041005 07:00:00,412.87,419.29,411.49,417.57
20041006 07:00:00,417.60,419.87,415.06,417.48
20041007 07:00:00,417.11,419.46,415.97,416.76
20041008 07:00:00,416.90,423.46,416.16,421.96
20041011 07:00:00,422.44,422.81,419.90,421.05
20041012 07:00:00,421.21,421.95,411.87,414.43
20041013 07:00:00,414.07,415.93,408.39,415.23
20041014 07:00:00,415.63,418.58,413.06,416.67
20041015 07:00:00,417.11,421.00,416.37,418.11
20041018 07:00:00,418.34,419.78,415.01,415.58
20041019 07:00:00,415.27,420.21,413.50,419.50
20041020 07:00:00,419.29,425.46,418.41,423.49
20041021 07:00:00,422.99,425.75,420.76,422.92
20041022 07:00:00,422.83,424.60,420.98,423.39
20041025 07:00:00,423.61,430.01,422.80,427.83
20041026 07:00:00,427.65,428.63,423.77,426.04
20041027 07:00:00,426.18,428.41,422.37,423.44
20041028 07:00:00,423.23,426.87,419.69,423.78
20041029 07:00:00,423.80,428.41,422.90,427.45
20041101 07:00:00,427.48,430.04,425.13,426.13
20041102 07:00:00,426.59,426.89,416.45,420.67
20041103 07:00:00,420.38,426.88,417.91,425.98
20041104 07:00:00,425.93,432.51,423.23,428.18
20041105 07:00:00,428.44,433.53,424.09,433.30
20041108 07:00:00,433.16,434.76,430.12,431.49
20041109 07:00:00,431.68,436.36,430.31,434.36
20041110 07:00:00,434.34,437.62,431.35,433.51
20041111 07:00:00,433.38,435.22,430.87,434.38
20041112 07:00:00,433.99,438.48,433.05,436.83
20041115 07:00:00,435.87,439.90,434.80,435.53
20041116 07:00:00,435.55,440.56,434.61,438.63
20041117 07:00:00,438.56,444.63,437.89,443.95
20041118 07:00:00,444.01,444.76,439.27,442.23
20041119 07:00:00,442.33,447.93,440.68,446.49
20041122 07:00:00,446.49,448.67,444.79,448.23
20041123 07:00:00,448.18,449.26,444.67,445.99
20041124 07:00:00,445.96,449.32,445.68,448.71
20041125 07:00:00,449.07,452.39,447.64,451.09
20041126 07:00:00,450.82,454.62,448.16,451.70
20041129 07:00:00,452.08,454.35,448.32,452.79
20041130 07:00:00,453.13,453.37,447.16,450.52
20041201 07:00:00,450.16,455.15,449.27,453.12
20041202 07:00:00,452.97,456.48,446.33,448.06
20041203 07:00:00,448.14,455.99,447.13,454.92
20041206 07:00:00,454.69,455.77,450.05,451.70
20041207 07:00:00,451.67,454.49,449.25,450.19
20041208 07:00:00,449.97,450.89,432.77,439.84
20041209 07:00:00,439.39,440.78,431.36,436.18
20041210 07:00:00,436.33,437.26,430.75,433.69
20041213 07:00:00,433.65,439.62,432.99,437.79
20041214 07:00:00,437.83,439.15,433.93,434.69
20041215 07:00:00,435.05,441.01,434.00,439.55
20041216 07:00:00,439.60,442.28,434.91,436.45
20041217 07:00:00,436.67,441.69,435.75,440.91
20041220 07:00:00,440.44,443.52,439.47,441.74
20041221 07:00:00,441.85,442.88,439.41,440.78
20041222 07:00:00,440.96,442.36,437.61,439.16
20041223 07:00:00,438.99,442.07,438.34,440.86
20041224 07:00:00,440.75,442.76,439.83,441.90
20041227 07:00:00,441.69,444.88,441.04,443.64
20041228 07:00:00,443.76,444.92,441.82,442.53
20041229 07:00:00,442.56,444.06,432.84,435.56
20041230 07:00:00,435.44,438.25,432.85,436.32
20041231 07:00:00,436.97,438.38,435.81,437.56
20050103 07:00:00,437.43,437.83,426.12,428.60
20050104 07:00:00,428.79,430.20,423.43,426.87
20050105 07:00:00,426.51,427.93,424.28,425.61
20050106 07:00:00,425.96,426.93,419.33,420.67
20050107 07:00:00,420.59,424.48,415.96,418.73
20050110 07:00:00,418.26,421.26,417.63,418.61
20050111 07:00:00,418.89,422.36,418.24,420.51
20050112 07:00:00,420.63,427.20,419.44,425.42
20050113 07:00:00,425.48,426.58,422.21,424.45
